IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
47.236.149.107,2086,2086,false,SIN,Asia Pacific,Singapore,216,8.27
47.236.180.51,80,80,false,SIN,Asia Pacific,Singapore,226,8.25
8.222.160.176,80,80,false,SIN,Asia Pacific,Singapore,190,8.22
8.219.117.198,2053,2053,true,SIN,Asia Pacific,Singapore,198,8.19
47.236.144.208,8880,8880,false,SIN,Asia Pacific,Singapore,194,8.14
47.237.95.146,2082,2082,false,SIN,Asia Pacific,Singapore,227,8.03
47.236.205.188,2052,2052,false,SIN,Asia Pacific,Singapore,199,7.92
47.236.189.92,2083,2083,true,SIN,Asia Pacific,Singapore,201,7.88
47.237.121.38,8880,8880,false,SIN,Asia Pacific,Singapore,217,7.87
47.237.92.26,2086,2086,false,SIN,Asia Pacific,Singapore,189,7.73
47.237.95.146,8880,8880,false,SIN,Asia Pacific,Singapore,204,7.66
47.237.8.82,2083,2083,true,SIN,Asia Pacific,Singapore,189,7.63
47.236.102.102,2052,2052,false,SIN,Asia Pacific,Singapore,220,7.58
47.236.169.141,2086,2086,false,SIN,Asia Pacific,Singapore,202,7.54
47.237.94.140,2087,2087,true,SIN,Asia Pacific,Singapore,200,7.54
47.236.130.95,2083,2083,true,SIN,Asia Pacific,Singapore,221,7.44
47.236.171.205,8080,8080,false,SIN,Asia Pacific,Singapore,225,7.40
8.222.164.209,2086,2086,false,SIN,Asia Pacific,Singapore,218,7.15
8.219.110.81,2052,2052,false,SIN,Asia Pacific,Singapore,224,7.14
47.237.0.31,80,80,false,SIN,Asia Pacific,Singapore,193,7.13
47.237.95.146,2083,2083,true,SIN,Asia Pacific,Singapore,225,7.11
47.236.169.141,8080,8080,false,SIN,Asia Pacific,Singapore,212,7.10
47.236.169.164,2095,2095,false,SIN,Asia Pacific,Singapore,205,7.07
47.236.180.24,8080,8080,false,SIN,Asia Pacific,Singapore,218,6.91
47.236.165.25,2083,2083,true,SIN,Asia Pacific,Singapore,204,6.83
47.237.8.82,2052,2052,false,SIN,Asia Pacific,Singapore,201,6.83
47.236.104.11,2086,2086,false,SIN,Asia Pacific,Singapore,203,6.76
47.236.180.24,2086,2086,false,SIN,Asia Pacific,Singapore,204,6.75
47.236.97.90,8880,8880,false,SIN,Asia Pacific,Singapore,213,6.73
47.237.83.20,2095,2095,false,SIN,Asia Pacific,Singapore,210,6.70
47.236.172.71,2082,2082,false,SIN,Asia Pacific,Singapore,224,6.66
47.236.149.107,8880,8880,false,SIN,Asia Pacific,Singapore,215,6.64
8.219.6.150,2053,2053,true,SIN,Asia Pacific,Singapore,206,6.63
8.222.169.222,2095,2095,false,SIN,Asia Pacific,Singapore,212,6.54
8.219.6.150,2052,2052,false,SIN,Asia Pacific,Singapore,204,6.52
47.237.81.112,2095,2095,false,SIN,Asia Pacific,Singapore,210,6.48
47.237.8.82,2096,2096,true,SIN,Asia Pacific,Singapore,195,6.47
47.236.150.13,8880,8880,false,SIN,Asia Pacific,Singapore,215,6.38
47.236.167.231,8080,8080,false,SIN,Asia Pacific,Singapore,200,6.36
8.222.191.138,8080,8080,false,SIN,Asia Pacific,Singapore,205,6.35
47.236.172.95,2052,2052,false,SIN,Asia Pacific,Singapore,222,6.34
8.219.201.245,2052,2052,false,SIN,Asia Pacific,Singapore,228,6.34
47.237.95.140,2095,2095,false,SIN,Asia Pacific,Singapore,195,6.30
47.236.169.164,8880,8880,false,SIN,Asia Pacific,Singapore,202,6.27
47.236.169.15,8080,8080,false,SIN,Asia Pacific,Singapore,225,6.27
47.236.83.239,2095,2095,false,SIN,Asia Pacific,Singapore,225,6.27
47.236.17.193,2082,2082,false,SIN,Asia Pacific,Singapore,194,6.24
47.236.93.176,2095,2095,false,SIN,Asia Pacific,Singapore,204,6.24
47.236.189.92,8443,8443,true,SIN,Asia Pacific,Singapore,221,6.16
47.236.180.24,8443,8443,true,SIN,Asia Pacific,Singapore,191,6.14
47.236.9.152,2082,2082,false,SIN,Asia Pacific,Singapore,199,6.12
47.237.14.220,2082,2082,false,SIN,Asia Pacific,Singapore,199,6.08
47.237.95.13,8880,8880,false,SIN,Asia Pacific,Singapore,211,6.06
47.237.100.206,2086,2086,false,SIN,Asia Pacific,Singapore,202,6.06
8.219.147.58,8080,8080,false,SIN,Asia Pacific,Singapore,203,6.05
47.237.86.185,80,80,false,SIN,Asia Pacific,Singapore,223,6.02
8.219.117.198,8080,8080,false,SIN,Asia Pacific,Singapore,223,6.01
8.219.237.250,2052,2052,false,SIN,Asia Pacific,Singapore,194,5.96
47.236.254.120,8880,8880,false,SIN,Asia Pacific,Singapore,206,5.94
8.222.169.222,2082,2082,false,SIN,Asia Pacific,Singapore,225,5.92
47.236.102.102,8880,8880,false,SIN,Asia Pacific,Singapore,219,5.92
47.237.11.182,8880,8880,false,SIN,Asia Pacific,Singapore,192,5.91
47.236.180.51,8880,8880,false,SIN,Asia Pacific,Singapore,214,5.87
47.236.149.107,80,80,false,SIN,Asia Pacific,Singapore,215,5.87
47.236.171.205,80,80,false,SIN,Asia Pacific,Singapore,217,5.86
47.237.83.20,2086,2086,false,SIN,Asia Pacific,Singapore,217,5.85
47.236.174.206,8080,8080,false,SIN,Asia Pacific,Singapore,215,5.82
47.236.167.231,2087,2087,true,SIN,Asia Pacific,Singapore,198,5.81
47.237.8.82,80,80,false,SIN,Asia Pacific,Singapore,216,5.77
47.236.180.24,2095,2095,false,SIN,Asia Pacific,Singapore,209,5.75
47.237.84.173,2096,2096,true,SIN,Asia Pacific,Singapore,199,5.72
47.236.17.193,2052,2052,false,SIN,Asia Pacific,Singapore,200,5.71
8.222.164.209,2083,2083,true,SIN,Asia Pacific,Singapore,218,5.66
47.236.121.23,8880,8880,false,SIN,Asia Pacific,Singapore,206,5.66
47.236.165.25,2087,2087,true,SIN,Asia Pacific,Singapore,227,5.63
47.236.169.141,80,80,false,SIN,Asia Pacific,Singapore,218,5.63
8.219.40.37,2087,2087,true,SIN,Asia Pacific,Singapore,67,5.62
47.236.144.156,2082,2082,false,SIN,Asia Pacific,Singapore,207,5.61
47.236.254.120,2052,2052,false,SIN,Asia Pacific,Singapore,197,5.61
8.222.191.138,80,80,false,SIN,Asia Pacific,Singapore,229,5.59
47.236.87.246,8080,8080,false,SIN,Asia Pacific,Singapore,213,5.59
8.219.237.250,2083,2083,true,SIN,Asia Pacific,Singapore,200,5.58
47.236.254.120,2095,2095,false,SIN,Asia Pacific,Singapore,207,5.58
47.236.123.133,8880,8880,false,SIN,Asia Pacific,Singapore,217,5.57
47.236.170.54,80,80,false,SIN,Asia Pacific,Singapore,217,5.53
47.237.121.38,2096,2096,true,SIN,Asia Pacific,Singapore,208,5.51
47.236.189.92,2086,2086,false,SIN,Asia Pacific,Singapore,225,5.47
47.237.82.15,2086,2086,false,SIN,Asia Pacific,Singapore,201,5.41
47.236.93.176,2052,2052,false,SIN,Asia Pacific,Singapore,216,5.37
47.236.180.24,8880,8880,false,SIN,Asia Pacific,Singapore,225,5.35
47.237.100.206,8880,8880,false,SIN,Asia Pacific,Singapore,203,5.35
47.236.232.148,2096,2096,true,SIN,Asia Pacific,Singapore,201,5.34
47.237.84.173,2087,2087,true,SIN,Asia Pacific,Singapore,201,5.33
8.219.237.250,8443,8443,true,SIN,Asia Pacific,Singapore,213,5.33
8.219.124.227,2083,2083,true,SIN,Asia Pacific,Singapore,213,5.33
47.236.168.17,80,80,false,SIN,Asia Pacific,Singapore,235,5.32
8.219.110.81,2083,2083,true,SIN,Asia Pacific,Singapore,217,5.32
47.236.169.15,8880,8880,false,SIN,Asia Pacific,Singapore,223,5.30
47.236.9.152,2086,2086,false,SIN,Asia Pacific,Singapore,235,5.29
47.237.121.38,2095,2095,false,SIN,Asia Pacific,Singapore,191,5.28
47.236.5.223,2086,2086,false,SIN,Asia Pacific,Singapore,214,5.23
8.219.201.245,8880,8880,false,SIN,Asia Pacific,Singapore,208,5.22
47.237.14.220,80,80,false,SIN,Asia Pacific,Singapore,206,5.20
8.222.191.138,8880,8880,false,SIN,Asia Pacific,Singapore,214,5.18
8.222.160.176,8880,8880,false,SIN,Asia Pacific,Singapore,218,5.17
47.236.144.48,2086,2086,false,SIN,Asia Pacific,Singapore,207,5.14
47.237.95.146,8080,8080,false,SIN,Asia Pacific,Singapore,189,5.11
8.219.124.227,2087,2087,true,SIN,Asia Pacific,Singapore,220,5.11
47.237.10.1,8880,8880,false,SIN,Asia Pacific,Singapore,219,5.09
8.219.67.133,2082,2082,false,SIN,Asia Pacific,Singapore,203,5.05
47.236.83.239,2052,2052,false,SIN,Asia Pacific,Singapore,191,5.03
47.237.8.82,8443,8443,true,SIN,Asia Pacific,Singapore,188,4.96
47.236.170.54,2086,2086,false,SIN,Asia Pacific,Singapore,198,4.92
47.237.11.182,2086,2086,false,SIN,Asia Pacific,Singapore,209,4.89
47.236.144.48,8880,8880,false,SIN,Asia Pacific,Singapore,213,4.85
8.219.67.133,8080,8080,false,SIN,Asia Pacific,Singapore,197,4.80
8.219.117.198,80,80,false,SIN,Asia Pacific,Singapore,206,4.80
47.237.84.173,2086,2086,false,SIN,Asia Pacific,Singapore,209,4.76
47.237.92.26,80,80,false,SIN,Asia Pacific,Singapore,193,4.71
8.219.110.81,2082,2082,false,SIN,Asia Pacific,Singapore,224,4.66
8.219.147.58,2083,2083,true,SIN,Asia Pacific,Singapore,201,4.58
47.236.232.148,2095,2095,false,SIN,Asia Pacific,Singapore,195,4.56
47.237.10.1,8080,8080,false,SIN,Asia Pacific,Singapore,226,4.52
47.236.75.113,2052,2052,false,SIN,Asia Pacific,Singapore,196,4.50
47.236.144.196,2082,2082,false,SIN,Asia Pacific,Singapore,203,4.47
47.236.93.176,80,80,false,SIN,Asia Pacific,Singapore,189,4.42
8.222.191.138,2082,2082,false,SIN,Asia Pacific,Singapore,194,4.37
47.237.81.112,80,80,false,SIN,Asia Pacific,Singapore,221,4.32
47.237.95.13,2052,2052,false,SIN,Asia Pacific,Singapore,221,4.28
47.236.253.41,8880,8880,false,SIN,Asia Pacific,Singapore,215,4.24
8.222.169.222,8443,8443,true,SIN,Asia Pacific,Singapore,208,4.23
47.237.100.206,80,80,false,SIN,Asia Pacific,Singapore,201,4.18
47.236.144.156,80,80,false,SIN,Asia Pacific,Singapore,228,4.17
47.236.130.95,2086,2086,false,SIN,Asia Pacific,Singapore,214,4.05
47.236.172.95,2095,2095,false,SIN,Asia Pacific,Singapore,200,4.04
47.236.144.196,8080,8080,false,SIN,Asia Pacific,Singapore,224,4.02
47.236.167.231,2086,2086,false,SIN,Asia Pacific,Singapore,195,4.01
47.237.92.26,2095,2095,false,SIN,Asia Pacific,Singapore,219,4.00
47.238.48.58,80,443,true,SIN,Asia Pacific,Singapore,19,3.95
8.219.124.227,2053,2053,true,SIN,Asia Pacific,Singapore,195,3.94
47.236.169.15,2086,2086,false,SIN,Asia Pacific,Singapore,204,3.93
47.236.10.182,80,80,false,SIN,Asia Pacific,Singapore,201,3.92
47.237.10.1,2095,2095,false,SIN,Asia Pacific,Singapore,223,3.91
8.219.147.58,8443,8443,true,SIN,Asia Pacific,Singapore,200,3.90
47.238.44.224,80,443,true,SIN,Asia Pacific,Singapore,28,3.90
8.222.193.65,2083,2083,true,SIN,Asia Pacific,Singapore,227,3.82
47.236.174.206,2052,2052,false,SIN,Asia Pacific,Singapore,194,3.76
47.237.0.31,2052,2052,false,SIN,Asia Pacific,Singapore,193,3.73
8.219.6.150,2095,2095,false,SIN,Asia Pacific,Singapore,206,3.72
47.238.52.240,80,443,true,SIN,Asia Pacific,Singapore,21,3.71
47.237.121.38,2053,2053,true,SIN,Asia Pacific,Singapore,210,3.68
47.236.167.231,8880,8880,false,SIN,Asia Pacific,Singapore,223,3.66
47.237.8.82,8880,8880,false,SIN,Asia Pacific,Singapore,211,3.66
47.237.83.20,8880,8880,false,SIN,Asia Pacific,Singapore,204,3.62
47.236.10.182,2086,2086,false,SIN,Asia Pacific,Singapore,193,3.56
47.236.149.107,8080,8080,false,SIN,Asia Pacific,Singapore,222,3.54
47.236.205.188,2095,2095,false,SIN,Asia Pacific,Singapore,188,3.45
47.236.5.223,80,80,false,SIN,Asia Pacific,Singapore,214,3.44
8.219.124.227,8080,8080,false,SIN,Asia Pacific,Singapore,214,3.29
47.237.84.173,2082,2082,false,SIN,Asia Pacific,Singapore,204,3.26
47.236.10.182,2053,2053,true,SIN,Asia Pacific,Singapore,208,3.21
8.222.193.65,443,443,true,SIN,Asia Pacific,Singapore,197,3.21
47.237.121.38,2083,2083,true,SIN,Asia Pacific,Singapore,200,3.18
8.219.67.133,8880,8880,false,SIN,Asia Pacific,Singapore,208,3.15
13.250.131.37,443,443,true,SIN,Asia Pacific,Singapore,63,3.14
47.236.189.92,2096,2096,true,SIN,Asia Pacific,Singapore,201,3.13
47.237.81.112,8080,8080,false,SIN,Asia Pacific,Singapore,198,3.11
8.219.117.198,2052,2052,false,SIN,Asia Pacific,Singapore,236,3.08
47.236.254.120,8443,8443,true,SIN,Asia Pacific,Singapore,192,2.96
8.219.110.81,2096,2096,true,SIN,Asia Pacific,Singapore,207,2.95
8.219.124.227,8880,8880,false,SIN,Asia Pacific,Singapore,216,2.77
47.236.10.182,2096,2096,true,SIN,Asia Pacific,Singapore,214,2.75
47.239.12.227,80,443,true,SIN,Asia Pacific,Singapore,36,2.73
47.237.8.82,2087,2087,true,SIN,Asia Pacific,Singapore,204,2.72
47.236.180.24,2052,2052,false,SIN,Asia Pacific,Singapore,203,2.72
8.222.193.65,2082,2082,false,SIN,Asia Pacific,Singapore,225,2.63
47.237.81.112,2082,2082,false,SIN,Asia Pacific,Singapore,203,2.60
47.236.130.95,2053,2053,true,SIN,Asia Pacific,Singapore,193,2.58
47.237.95.146,80,80,false,SIN,Asia Pacific,Singapore,201,2.57
47.76.245.164,80,443,true,SIN,Asia Pacific,Singapore,26,2.57
47.237.8.82,2082,2082,false,SIN,Asia Pacific,Singapore,227,2.51
47.237.84.173,80,80,false,SIN,Asia Pacific,Singapore,201,2.42
47.236.253.41,8443,8443,true,SIN,Asia Pacific,Singapore,195,2.41
47.236.121.23,2095,2095,false,SIN,Asia Pacific,Singapore,225,2.40
8.222.193.65,8080,8080,false,SIN,Asia Pacific,Singapore,229,2.37
47.236.170.225,2083,2083,true,SIN,Asia Pacific,Singapore,214,2.29
47.76.254.36,80,443,true,SIN,Asia Pacific,Singapore,19,2.27
47.76.243.157,80,443,true,SIN,Asia Pacific,Singapore,10,2.14
8.218.132.209,80,443,true,SIN,Asia Pacific,Singapore,13,2.12
47.236.180.51,2086,2086,false,SIN,Asia Pacific,Singapore,202,1.95
47.236.166.131,2082,2082,false,SIN,Asia Pacific,Singapore,217,1.85
47.236.93.176,2082,2082,false,SIN,Asia Pacific,Singapore,207,1.78
8.219.237.250,2082,2082,false,SIN,Asia Pacific,Singapore,199,1.70
47.236.166.131,2095,2095,false,SIN,Asia Pacific,Singapore,218,1.69
47.236.172.71,8080,8080,false,SIN,Asia Pacific,Singapore,201,1.35
47.237.95.140,8880,8880,false,SIN,Asia Pacific,Singapore,223,1.34
47.237.95.140,8080,8080,false,SIN,Asia Pacific,Singapore,208,1.30
47.236.130.95,443,443,true,SIN,Asia Pacific,Singapore,210,1.25
47.236.130.95,8880,8880,false,SIN,Asia Pacific,Singapore,204,1.21
47.236.170.225,80,80,false,SIN,Asia Pacific,Singapore,206,1.13
8.219.67.133,2052,2052,false,SIN,Asia Pacific,Singapore,246,1.11
8.219.147.58,2086,2086,false,SIN,Asia Pacific,Singapore,232,1.09
47.236.202.91,2095,2095,false,SIN,Asia Pacific,Singapore,219,1.08
47.236.180.51,2053,2053,true,SIN,Asia Pacific,Singapore,196,1.02
47.236.165.25,8880,8880,false,SIN,Asia Pacific,Singapore,203,1.01
47.236.75.113,2082,2082,false,SIN,Asia Pacific,Singapore,216,0.98
47.236.170.225,2095,2095,false,SIN,Asia Pacific,Singapore,224,0.88
47.236.121.23,2082,2082,false,SIN,Asia Pacific,Singapore,233,0.85
8.219.6.150,2087,2087,true,SIN,Asia Pacific,Singapore,205,0.84
47.236.253.41,2083,2083,true,SIN,Asia Pacific,Singapore,229,0.82
47.236.9.152,2052,2052,false,SIN,Asia Pacific,Singapore,206,0.75
47.236.75.163,8443,443,true,SIN,Asia Pacific,Singapore,204,0.73
47.236.174.206,80,80,false,SIN,Asia Pacific,Singapore,200,0.70
47.236.197.190,8443,443,true,SIN,Asia Pacific,Singapore,213,0.61
47.236.253.41,2087,2087,true,SIN,Asia Pacific,Singapore,214,0.51
8.222.169.222,8080,8080,false,SIN,Asia Pacific,Singapore,198,0.49
45.159.50.35,58124,443,true,SIN,Asia Pacific,Singapore,67,0.49
8.219.117.198,2083,2083,true,SIN,Asia Pacific,Singapore,196,0.43
8.222.128.32,443,443,true,SIN,Asia Pacific,Singapore,204,0.39
47.236.80.110,2052,2052,false,SIN,Asia Pacific,Singapore,216,0.33
47.236.130.95,8443,8443,true,SIN,Asia Pacific,Singapore,195,0.32
8.222.233.183,443,443,true,SIN,Asia Pacific,Singapore,220,0.31
47.236.202.91,2052,2052,false,SIN,Asia Pacific,Singapore,211,0.26
139.84.162.197,443,443,true,SIN,Asia Pacific,Singapore,247,0.21
154.17.225.138,59430,443,true,SIN,Asia Pacific,Singapore,156,0.17
47.236.80.110,8880,8880,false,SIN,Asia Pacific,Singapore,202,0.16
8.222.128.75,443,443,true,SIN,Asia Pacific,Singapore,201,0.12
54.169.229.188,443,443,true,SIN,Asia Pacific,Singapore,66,0.11
8.213.208.51,8443,443,true,SIN,Asia Pacific,Singapore,395,0.04
23.225.64.72,25017,443,true,SIN,Asia Pacific,Singapore,71,0.01
43.156.116.194,443,443,true,SIN,Asia Pacific,Singapore,233,0.00
120.220.19.109,2082,2082,false,SIN,Asia Pacific,Singapore,48,0.00
13.228.142.218,443,443,true,SIN,Asia Pacific,Singapore,66,0.00
47.237.82.15,2096,2096,true,SIN,Asia Pacific,Singapore,208,0.00
